id|name|sub_category|description|category
PERSONID|Individual identification number|Technical|PERSONID is an identification variable constructed by IPUMS using the reference ID variable (REFID) from the public use files.  The original variable identifying individuals uniquely across samples is composed of alpha-numerics, whereas PERSONID used an algorithm to create unique numeric values for each individual.  Each digit was expanded to 2 digits.  Numeric digits were given a leading zero.  For example, the digit 2 would be converted to 02.  Letters would be converted by the ordinal of the letter plus ten.  For example, A would be converted to 11, B to 12, C to 13 and so on.  It is possible to identify individuals in different survey years within the same decade.IPUMS-SESTAT has set PERSONID as a character string for statistical packages to more easily read in the values.Users should note that some respondents are interviewed over time, allowing the possibility for longitudinal data analysis.  Please see our User Note on Longitudinal Data.|Technical
REFID|Reference ID number (original)|Technical|REFID is the original individual reference number constructed by the NSF to identify respondents across surveys.  Some cohorts have alphabetic characters in addition to numeric characters, so IPUMS created an entirely numeric version called PERSONID.  Users should note that some respondents are interviewed over time, allowing the possibility for longitudinal data analysis.  Please see our User Note on Longitudinal Data.|Technical
YEAR|Survey year|Technical|YEAR gives the year in which the survey was administered.|Technical
WEIGHT|SESTAT weight|Technical|WEIGHT is a weight variable specific to SESTAT samples. The original weights for the separate, non-SESTAT surveys were adjusted to create WEIGHT, so that individuals who might have been eligible for more than one survey are not over-represented when analyzing the entire SESTAT file for a particular year.  Users should use WTSURVY for non-SESTAT survey samples.The original data includes the decimal point and 2 decimal places.|Technical
SAMPLE|Sample identifier|Technical|SAMPLE is an IPUMS-design sample identification number to distinguish each SESTAT sample uniquely.  The sample coding convention is as follows: the left-most digit (or two digits in 4-digit codes) sequentially numbers each iteration of survey waves beginning in 1993, the second from the right digit identifies SESTAT samples with 0, and non-SESTAT (full survey) samples with 1, and the right-most digit corresponds to the survey type, for example, SDR samples have a last digit of 2.|Technical
SURID|Survey identifier|Technical|SURID identifies the survey for which the respondent was interviewed in this particular survey year.|Technical
COHORT|Survey cohort|Technical|COHORT identifies to which survey cohort the respondent belongs.  For the National Survey of College Graduates (NSCG), a cohort is selected from the decennial Census or the American Community Survey sample at the beginning of each decade, and the cohort is followed over the decade.  New waves of respondents are selected by different sampling methods for the National Survey of Recent College Graduates (NSRCG) and the Survey of Doctorate Recipients (SDR) every 2 to 3 years.  The SDR respondents are not interviewed again, but the NSRCG respondents are pooled with the NSCG of that decade and interviewed until the end of the decade.  See our User Notes on Sample Design or Longitudinal Data for more details.|Technical
SRVMODE|Survey mode|Technical|SRVMODE describes the way in which the respondent was interviewed for the survey.|Technical
SEQNUM|Sequence number|Technical|SEQNUM is a variable constructed by IPUMS that preserves the original order of records within each sample in the public use files.  The sequence number is assigned independently for each survey component of SESTAT files.|Technical
AGE|Age|Demographic|AGE is a public use version of the respondent's age at the time of the survey.  In most samples, AGE is top-coded at 75 and bottom-coded at 23, 27, or 35.For SESTAT samples in the years 1993 to 1999, AGE is a recode using the variable BIRYR, which is the respondent's birth year, given in 5-year intervals.  The result is that AGE is also given in 5-year intervals, because the recode subtracts the value in BIRYR from the survey year.|Demographic
BIRYR|Birth year|Demographic|BIRYR reports the respondent's year of birth within 5-year interval groups. For samples in years 2001 and onward, BIRYR is calculated by subtracting the respondent's age in AGE from the survey year, and recoded to match the 5-year interval scheme.|Demographic
GENDER|Gender|Demographic|GENDER indicates whether the respondent identified as male or female.|Demographic
MINRTY|Minority indicator|Demographic|MINRTY is an indicator variable identifying respondents who self-reported being an ethnic or racial minority.|Demographic
RACETH|Race/ethnicity|Demographic|RACETH is a recode of the respondent's reported race into public use categories.  The specific categories Asian and White are kept, and other race categories that have fewer cases are grouped into Under-represented minorities or Other.|Demographic
BTHUS|Place of birth|Demographic|BTHUS reports whether or not the respondent was born in the United States.|Demographic
CTZUSIN|U.S. citizenship status, binary|Demographic|CTZUSIN is a binary variable that indicates whether or not the respondent is a US citizen or not.  The variable CTZUS gives more detail about whether the respondent is a citizen by birth or by naturalization.|Demographic
CTZUS|Type of US citizen|Demographic|CTZUS reports whether the respondent is a citizen by birth or by naturalization.  A similar variable CTZUSIN is a binary variable that indicates whether or not the respondent is a US citizen or not.|Demographic
FNVS|Type of visa held when first came to US|Demographic|FNVS describes the respondent's visa category when he/she first came to the US.|Demographic
CHTOT|Total number of children|Demographic|CHTOT is an NSF recode variable describing how many children the respondent lived with as part of his/her family.|Demographic
CHU2|Number of children: under age 2|Demographic|CHU2 gives the number of children under the age of 2 who live with the respondent as of the reference date.|Demographic
CHU2IN|Children indicator: under age 2|Demographic|CHU2IN is a binary variable that indicates whether the respondent lived with children under the age of two, if the respondent lived with children.|Demographic
CH6|Number of children: under age 6|Demographic|CH6 gives the number of children under the age of 6 who lived with the respondent, if the respondent reported living with children.|Demographic
CH6IN|Children indicator: under age 6|Demographic|CH6IN is a binary variable that indicates whether the respondent lived with children under the age of 6, if the respondent lived with children.|Demographic
CH25|Number of children: aged 2-5|Demographic|CH25 gives the number of children between the ages of 2 and 5 who live with the respondent as of the reference date.|Demographic
CH25IN|Children indicator: ages 2-5|Demographic|CH25IN is a binary variable that indicates whether the respondent lived with children who were between the ages 2 and 5, if the respondent lived with children.|Demographic
CH611|Number of children: aged 6-11|Demographic|CH611 gives the number of children ages 6 to 11 who lived with the respondent, if the respondent reported living with children.|Demographic
CH611IN|Children indicator: ages 6-11|Demographic|CH611IN is a binary variable that indicates whether the respondent lived with children who were between the ages 6 and 11, if the respondent lived with children.|Demographic
CHUN12|Children indicator: under 12|Demographic|CHUN12 indicates whether the respondent lived with a child under age 12.|Demographic
CH1217|Number of children: aged 12-17|Demographic|CH1217 gives the number of children ages 12 to 17 who lived with the respondent, if the respondent reported living with children.|Demographic
CH1217IN|Children indicator: aged 12-17|Demographic|CH1217IN is a binary variable that indicates whether the respondent lived with children who were between the ages 12 and 17, if the respondent lived with children.|Demographic
CH1218IN|Children indicator: aged 12-18|Demographic|CH1218IN is a binary variable that indicates whether the respondent lived with children who were between the ages 12 and 18, if the respondent lived with children.|Demographic
CH18|Number of children: aged 18 or older|Demographic|CH18 gives the number of children ages 18 or older who lived with the respondent, if the respondent reported living with children.|Demographic
CH18IN|Children indicator: aged 18 or older|Demographic|CH18IN is a binary variable that indicates whether the respondent lived with children ages 18 or older, if the respondent lived with children.|Demographic
CH19IN|Children indicator: age 19 or older|Demographic|CH19IN is a binary variable that indicates whether the respondent lived with children ages 19 or older, if the respondent lived with children.|Demographic
RESPLCUS|Respondent location|Other|RESPLCUS indicates whether or not the respondent was located in the US or not, using information from other responses, such as respondent's residence or employer's location.|Other
CMPRI|Reasons for coming to U.S.: most important reason|Other|CMPRI reports the factor the respondent considered most important when deciding to come to the United States, if the respondent was a US citizen but not born in the US.  Related variables include CMEDU, CMFAM, CMFLD, CMOPP, CMOT, and CMSEC.|Other
CMSEC|Reasons for coming to U.S.: second most important reason|Other|CMSEC reports the factor the respondent considered second most important when deciding to come to the United States, if the respondent was a US citizen but not born in the US.  Related variables include CMEDU, CMFAM, CMFLD, CMOPP, CMOT, and CMPRI.|Other
CMEDU|Factors important to come to U.S.: educational opportunities|Other|CMEDU reports whether or not opportunities for education was a factor in the respondent's decision for coming to the United States, if the respondent was a US citizen but not born in the US.  Related variables include CMFAM, CMFLD, CMOPP, CMOT, CMPRI, and CMSEC.|Other
CMFAM|Factors important to come to U.S.: family-related reasons|Other|CMFAM reports whether or not family-related reasons were a factor in the respondent's decision for coming to the United States, if the respondent was a US citizen but not born in the US. Related variables include CMEDU, CMFLD, CMOPP, CMOT, CMPRI, and CMSEC.|Other
CMFLD|Factors important to come to U.S.: scientific/professional infrastructure|Other|CMFLD reports whether or not scientific or professional infrastructure in the respondent's field were a factor in the respondent's decision for coming to the United States, if the respondent was a US citizen but not born in the US. Related variables include CMEDU, CMFAM, CMOPP, CMOT, CMPRI, and CMSEC.|Other
CMOPP|Factors important to come to U.S.: job/economic opportunities|Other|CMOPP reports whether or not job or economic opportunities were a factor in the respondent's decision for coming to the United States, if the respondent was a US citizen but not born in the US. Related variables include CMEDU, CMFAM, CMFLD, CMOT, CMPRI, and CMSEC.|Other
CMOT|Factors important to come to U.S.: other|Other|CMOT reports whether a factor other than the ones listed on the questionnaire affected the respondent's decision for coming to the United States, if the respondent was a US citizen but not born in the US. Related variables include CMEDU, CMFAM, CMFLD, CMOPP, CMPRI, and CMSEC.|Other
BAAYR5|Year of first bachelor's degree pre-2003 (5-year intervals)|Bachelors Degree|BAAYR5 is the year the respondent was awarded his/her first bachelor's degree, grouped into 5-year intervals.  In some samples, the month of the receipt of the first bachelor's degree is available in BAMN.  The year of achieving a bachelor's degree without intervals is available in some samples in the variable BAACYR.|Education
BA03Y5|Year of first bachelor degree 2003-onward (5-year intervals)|Bachelors Degree|BA03Y5 is the year the respondent was awarded his/her first bachelor's degree, grouped into 5-year intervals, for samples 2003 and after. For comparable data pre-2003, see BAAYR5.  In some samples, the month of the receipt of the first bachelor's degree is available in BAMN.  The year of achieving a bachelor's degree without intervals is available in some samples in the variable BAACYR.|Education
NBAMED|Field of major for first bachelor degree code|Bachelors Degree|NBAMED provides a public-use version of respondent's field of major for his/her first bachelor's degree. Related variables include NBAMEDD and NBAMEMG.|Education
NBAMEMG|Field of major for first bachelor degree (major group)|Bachelors Degree|NBAMEMG categorizes the respondent's field of major for his/her first bachelor's degree into eight broad fields. The variable NBAMED provides this information with a finer level of detail.|Education
BARGN|Location of school awarding first bachelor's degree (region)|Bachelors Degree|BARGN reports the location of the school from which the respondent received his or her first bachelor's degree.|Education
BADGRUS|Location of school awarding first bachelor degree (US/non-US)|Bachelors Degree|BADGRUS reports whether or not the academic institution where the respondent achieved his/her first bachelor's degree is located in the US.|Education
BAFAST|Financial support for first bachelor degree: Assistantship/work study|Bachelors Degree|BAFAST indicates whether or not the respondent depended on financial support from an assistantship or work study during his/her first bachelor's degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include BAFEM, BAFERN, BAFGFT, BAFGRN, BAFLN, BAFOT, and BAFPLN.|Education
BAFEM|Financial support for first bachelor degree: Employer|Bachelors Degree|BAFEM indicates whether or not the respondent depended on financial support from his/her employer during his/her first bachelor's degree. The respondent was asked to indicate all sources of financial support that applied. Other variables from this survey question include BAFAST, BAFERN, BAFGFT, BAFGRN, BAFLN, BAFOT, and BAFPLN.|Education
BAFERN|Financial support for first bachelor degree: Earnings from employment|Bachelors Degree|BAFERN indicates whether or not the respondent depended on earnings from employment as financial support during his/her first bachelor's degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include BAFAST, BAFEM, BAFGFT, BAFGRN, BAFLN, BAFOT, and BAFPLN.|Education
